Team1,Team2,odd1,odd2,date,league
"Hurkacz, Hubert","Bolt, Alex",1.19,4.18,29 Sep 21:10,"ATP Atp San Diego, Usa Men Singles"
Corley C / Corley I,Miyamoto A / Sawangkaew M,1.34,2.81,29 Sep 21:15,"ITFw ITF USA 19A, Women Doubles"
Hinojosa Gomez J / Rusova A,Reed L / Snells J,1.41,2.56,29 Sep 21:15,"ITFw ITF Mexico 02A, Women Doubles"
Baker B / Kingsley C,Arevalo I A / Collier R,1.39,2.62,29 Sep 21:20,"ITFm ITF USA F15, Men Doubles"
Bangoura S / Brouwer G,Bushamuka W / Scaglia M,1.09,5.43,29 Sep 21:20,"ITFm ITF USA F15, Men Doubles"
Reami A / Zhu A,Fiquet T / Labrana F,2.05,1.64,29 Sep 21:20,"ITFw ITF USA 19A, Women Doubles"
"Duval, Victoria","Kaji, Haruka",1.14,4.48,29 Sep 21:50,"ITFw ITF USA 18A, Women Singles"
Britto L / Yamacita F,Hussey G / Jones A,2.05,1.64,29 Sep 22:05,"ITFm ITF Mexico F2, Men Doubles"
Ponwith N / Zink T,Broom C / Kissell C,1.46,2.42,29 Sep 22:05,"ITFm ITF USA F15, Men Doubles"
Kononova M / Williford K,Kanapatskaya V / Orpana O,2.22,1.54,29 Sep 22:20,"ITFw ITF USA 19A, Women Doubles"
"Liang, En Shuo","Lu, Jia-jing",1.26,3.26,29 Sep 22:20,"ITFw ITF USA 18A, Women Singles"
"Vickery, Sachia","Wang, Xinyu",2.77,1.35,29 Sep 22:20,"ITFw ITF USA 18A, Women Singles"
Hurkacz H / Melo M,Peers J / Polasek F,2.14,1.63,29 Sep 23:00,"ATP Atp San Diego, Usa Men Doubles"
"Exposito Diaz-delgad, Paola","Day, Kayla",5.65,1.08,29 Sep 23:20,"ITFw ITF USA 18A, Women Singles"
Portillo Ramirez M J / Rodriguez V,Rogers A S / Rosca C,1.27,3.20,29 Sep 23:35,"ITFw ITF Mexico 02A, Women Doubles"
Jakupovic D / Kuwata H,Bjorklund M / Di Lorenzo F,2.04,1.64,29 Sep 23:50,"ITFw ITF USA 18A, Women Doubles"
Sancic A / Sitak A,Thompson J / Withrow J,1.98,1.74,30 Sep 00:20,"ATP Atp San Diego, Usa Men Doubles"
"Rublev, Andrey","Nakashima, Brandon",1.35,2.94,30 Sep 00:30,"ATP Atp San Diego, Usa Men Singles"
"Harris, Lloyd","Schwartzman, Diego",1.84,1.87,30 Sep 01:50,"ATP Atp San Diego, Usa Men Singles"
Dzalamidze N / Juvan K,Blinkova A / Danilina A,2.53,1.46,30 Sep 06:00,"WTA Wta Nur Sultan, Kazakhstan Women Doubles"
"Gracheva, Varvara","Van Uytvanck, Alison",2.34,1.53,30 Sep 06:00,"WTA Wta Nur Sultan, Kazakhstan Women Singles"
"Agamenone, Franco","Sachko, Vitaliy",1.66,2.09,30 Sep 07:00,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Copil, Marius","Kolar, Zdenek",3.01,1.34,30 Sep 07:00,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Huesler, Marc-andrea","Oliel, Yshai",1.38,2.83,30 Sep 07:00,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Cristian, Jaqueline Adina","Krunic, Aleksandra",1.95,1.77,30 Sep 07:15,"WTA Wta Nur Sultan, Kazakhstan Women Singles"
Friedsam A-L / Niculescu M,Strakhova V / Yashina E,1.15,4.80,30 Sep 07:15,"WTA Wta Nur Sultan, Kazakhstan Women Doubles"
"Beale, Jeremy","Howard-Tripp, Joshua",1.12,4.92,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Gjorcheska, Lina","Kraus, Sinja",,,30 Sep 07:30,"ITFw ITF Hungary 01A, Women Singles"
"Gray, Alastair","Ochi, Makoto",1.10,5.34,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Karol, Milos","Valkusz, Mate",6.65,1.05,30 Sep 07:30,"ITFm ITF Hungary F1, Men Singles"
"Lock, Benjamin","Prechtel, Sebastian",1.44,2.46,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Madarasz, Gergely","Krumich, Martin",1.61,2.09,30 Sep 07:30,"ITFm ITF Hungary F1, Men Singles"
"Montsi, Khololwam","De Carvalho Cardoso Alves, Mateus",2.79,1.35,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Nagy, Peter","Iannaccone, Federico",2.35,1.48,30 Sep 07:30,"ITFm ITF Hungary F1, Men Singles"
"Nijboer, Ryan","Badenhorst, Devin",1.31,2.95,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Noguchi, Rio","Vilardo, Francesco",1.33,2.88,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Parizzia, Nicolas","Duda, Filip",2.49,1.43,30 Sep 07:30,"ITFm ITF Hungary F1, Men Singles"
"Salton, Dylan","Pervolarakis, Michail",3.93,1.18,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Simon, Sahar","Peliwo, Filip",2.40,1.46,30 Sep 07:30,"ITFm ITF South Africa F3, Men Singles"
"Vincent Ruggeri, Samuel","Marozsan, Fabian",3.06,1.29,30 Sep 07:30,"ITFm ITF Hungary F1, Men Singles"
"Bocchi, Lorenzo","Tabur, Clement",2.83,1.34,30 Sep 08:00,"ITFm Itf North Macedonia F3, Men Singles"
"Chepelev, Andrey","Paz, Juan Pablo",2.20,1.55,30 Sep 08:00,"ITFm Itf North Macedonia F3, Men Singles"
"Cozbinov, Alexander","Battaglino, Stefano",1.43,2.49,30 Sep 08:00,"ITFm Itf North Macedonia F3, Men Singles"
"Den Ouden, Guy","Neumayer, Lukas",1.99,1.67,30 Sep 08:00,"ITFm ITF Tunisia F39, Men Singles"
"Marcinko, Petra","Meri, Eszter",1.42,2.54,30 Sep 08:00,"ITFw ITF Tunisia 39A, Women Singles"
"Negritu, Christoph","Nishiwaki, Kazuki",1.24,3.38,30 Sep 08:00,"ITFm ITF Tunisia F39, Men Singles"
"Ouakaa, Aziz","Blanchet, Ugo",6.93,1.05,30 Sep 08:00,"ITFm ITF Tunisia F39, Men Singles"
"Rehberg, Max Hans","Naw, Hazem",1.58,2.13,30 Sep 08:00,"ITFm ITF France F13, Men Singles"
"Sumizawa, Daisuke","Ogura, Kosuke",1.35,2.78,30 Sep 08:00,"ITFm ITF Tunisia F39, Men Singles"
"Tanuma, Ryota","Vasiliauskas, Matas",1.04,7.32,30 Sep 08:00,"ITFm ITF Tunisia F39, Men Singles"
"Wessels, Louis","Durguti, Besir",1.01,9.03,30 Sep 08:00,"ITFm Itf North Macedonia F3, Men Singles"
"Dzumhur, Damir","Blancaneaux, Geoffrey",1.32,3.13,30 Sep 08:20,"Chall. ATP Challenger Sibiu, Romania Men Singles"
Palosi S / Popescu M,Erler A / Miedler L,5.13,1.13,30 Sep 08:20,"Chall. ATP Challenger Sibiu, Romania Men Double"
"Travaglia, Stefano","Bondarevskiy, Yan",1.10,5.90,30 Sep 08:20,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Barrena, Alex","Rottoli, Lorenzo",1.72,1.92,30 Sep 08:30,"ITFm ITF Egypt F25, Men Singles"
"Ferrando, Cristiana","Ponchet, Jessika",2.35,1.48,30 Sep 08:30,"ITFw ITF France 19A, Women Singles"
"Maggioli, Emiliano","Da Silva, Gabriel Ciro",1.07,6.05,30 Sep 08:30,"ITFm ITF Egypt F25, Men Singles"
Murray Sharan S / Savinykh V,Gabueva A / Zakharova A,1.48,2.47,30 Sep 08:30,"WTA Wta Nur Sultan, Kazakhstan Women Doubles"
"Putintseva, Yulia","Gasanova, Anastasia",1.13,5.13,30 Sep 08:30,"WTA Wta Nur Sultan, Kazakhstan Women Singles"
"Andrianjafitrimo, Tessah","Charaeva, Alina",1.39,2.64,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Anshba, Amina","Mandlik, Elizabeth",2.09,1.61,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Avdeeva, Julia","Gatto-monticone, Giulia",2.04,1.64,30 Sep 09:00,"ITFw ITF Hungary 01A, Women Singles"
"Cabaj Awad, Jacqueline","Zuger, Joanne",3.23,1.26,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Duerst, Jenny","Khirin, Nicole",1.86,1.78,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Gadecki, Olivia","Grey, Sarah Beth",1.14,4.53,30 Sep 09:00,"ITFw ITF France 19A, Women Singles"
"Giron, Marcos","De Minaur, Alex",2.25,1.58,30 Sep 09:00,"ATP ATP Sofia, Bulgaria Men Singles"
"Jani, Reka Luca","Pigato, Lisa",1.51,2.29,30 Sep 09:00,"ITFw ITF Hungary 01A, Women Singles"
"Koval, Vlada","Bondarenko, Maria",1.60,2.10,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Kovinic, Danka","Hartono, Arianne",1.81,1.82,30 Sep 09:00,"ITFw ITF France 19A, Women Singles"
"Lamens, Suzan","Kimchi, Shavit",1.44,2.48,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Lys, Eva","Glushko, Lina",1.86,1.78,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Millman, John","Marchenko, Illya",1.52,2.37,30 Sep 09:00,"ATP ATP Sofia, Bulgaria Men Singles"
"Mutavdzic, Matilda","Kruger, Zoe",1.68,1.99,30 Sep 09:00,"ITFw Itf South Africa 05a, Women Singles"
"Nagy, Adrienn","Lukas, Tena",2.07,1.62,30 Sep 09:00,"ITFw ITF Hungary 01A, Women Singles"
"Piros, Zsombor","Boros, Attila",1.03,7.54,30 Sep 09:00,"ITFm ITF Hungary F1, Men Singles"
"Strombachs, Robert","Bouquier, Arthur",2.17,1.56,30 Sep 09:00,"ITFm ITF France F13, Men Singles"
"Szabanin, Natalia","Seguel, Daniela",2.19,1.56,30 Sep 09:00,"ITFw ITF Hungary 01A, Women Singles"
"Burillo Escorihuela, Irene","Fita Boluda, Angela",2.39,1.47,30 Sep 09:30,"ITFw ITF Portugal 16A, Women Singles"
"Chanta, Aunchisa","Scilipoti, Sebastianna",1.82,1.82,30 Sep 09:30,"ITFw ITF Tunisia 39A, Women Singles"
"Desai, Zeel","Aksu, Ayla",1.70,1.95,30 Sep 09:30,"ITFw ITF Tunisia 39A, Women Singles"
"Jattavapornvanit, Pimrada","Koevermans, Anouk",1.26,3.24,30 Sep 09:30,"ITFw ITF Tunisia 39A, Women Singles"
"Mansouri, Skander","Abderrahman, Wissam",1.04,7.32,30 Sep 09:30,"ITFm ITF Tunisia F39, Men Singles"
Nedunchezhiyan J / Raja P,Forti F / Zeppieri G,1.85,1.85,30 Sep 09:30,"Chall. ATP Challenger Lisbon, Portugal Men Double"
"Popko, Dmitry","Hassan, Benjamin",1.29,3.30,30 Sep 09:30,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
"Reymond, Arthur","Breut, Lilian",1.19,3.89,30 Sep 09:30,"ITFm ITF France F13, Men Singles"
"Setkic, Aldin","Tabacco, Giorgio",1.34,2.84,30 Sep 09:30,"ITFm Itf North Macedonia F3, Men Singles"
"Sorrentino, Luigi","Arnaldi, Matteo",5.49,1.09,30 Sep 09:30,"ITFm Itf North Macedonia F3, Men Singles"
"Srbljak, Gorazd","Squire, Henri",5.50,1.09,30 Sep 09:30,"ITFm Itf North Macedonia F3, Men Singles"
"Waltert, Simona","Ormaechea, Paula",1.95,1.70,30 Sep 09:30,"ITFw ITF Portugal 16A, Women Singles"
Jecan M-a / Jianu F C,Gonzales R / Johnson H,2.26,1.57,30 Sep 09:40,"Chall. ATP Challenger Sibiu, Romania Men Double"
"Kokkinakis, Thanasi","Kirkin, Ergi",1.22,3.82,30 Sep 09:40,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Lehecka, Jiri","Nagal, Sumit",1.26,3.48,30 Sep 09:40,"Chall. ATP Challenger Sibiu, Romania Men Singles"
Diatchenko V / Sizikova Y,Lapko V / Marozava L,2.38,1.51,30 Sep 09:45,"WTA Wta Nur Sultan, Kazakhstan Women Doubles"
"Potapova, Anastasia","Peterson, Rebecca",1.59,2.21,30 Sep 09:45,"WTA Wta Nur Sultan, Kazakhstan Women Singles"
"Darderi, Luciano","Eisinga, Zachary",1.05,6.92,30 Sep 10:00,"ITFm ITF Egypt F25, Men Singles"
"Ortenzi, Benedetta","Alhussein Abdel Aziz, Lamis",6.22,1.06,30 Sep 10:00,"ITFw ITF Egypt 25A, Women Singles"
"Pigossi, Laura","Hesse, Amandine",3.84,1.19,30 Sep 10:00,"ITFw ITF France 19A, Women Singles"
"Rinderknech, Arthur","Grenier, Hugo",1.36,2.90,30 Sep 10:00,"Chall. ATP Challenger Orleans, France Men Singles"
"Roncalli, Simone","Ortenzi, Gian Marco",1.10,5.14,30 Sep 10:00,"ITFm ITF Egypt F25, Men Singles"
"Duckworth, James","Paire, Benoit",1.82,1.88,30 Sep 10:20,"ATP ATP Sofia, Bulgaria Men Singles"
Badenhorst D / Koenig L,Kalovelonis M / Pervolarakis M,4.99,1.11,30 Sep 10:30,"ITFm ITF South Africa F3, Men Doubles"
Beale J / Lock B,Malan P / Scott A,1.04,7.33,30 Sep 10:30,"ITFm ITF South Africa F3, Men Doubles"
"Beauge, Maxence","Johnson, Luke",2.17,1.56,30 Sep 10:30,"ITFm ITF France F13, Men Singles"
Borsos G / Nagy P,Gadamauri B / Sinclair C,1.82,1.82,30 Sep 10:30,"ITFm ITF Hungary F1, Men Doubles"
"Carballes Baena, Roberto","Rybakov, Alex",1.18,4.25,30 Sep 10:30,"Chall. ATP Challenger Murcia, Spain Men Singles"
"Cias, Pawel","Fajta, Peter",1.56,2.17,30 Sep 10:30,"ITFm ITF Hungary F1, Men Singles"
Cukierman D / Vilardo F,Nijboer R / Oberleitner N,3.01,1.30,30 Sep 10:30,"ITFm ITF South Africa F3, Men Doubles"
"Ignatik, Alexandra","Stollar, Fanny",1.51,2.29,30 Sep 10:30,"ITFw ITF Hungary 01A, Women Singles"
Patzanovsky C / Wolfschmidt A,Duda F / Pospisil J,4.04,1.17,30 Sep 10:30,"ITFm ITF Hungary F1, Men Doubles"
Peliwo F / Stevenson K,Niki T / Ochi M,1.82,1.82,30 Sep 10:30,"ITFm ITF South Africa F3, Men Doubles"
"Selekhmeteva, Oksana","Snigur, Daria",1.83,1.81,30 Sep 10:30,"ITFw ITF France 19A, Women Singles"
"Shymanovich, Iryna","Bondar, Anna",2.47,1.44,30 Sep 10:30,"ITFw ITF France 19A, Women Singles"
Fallert F / Heller P,Bortolotti M / Pellegrino A,1.85,1.85,30 Sep 10:50,"Chall. ATP Challenger Lisbon, Portugal Men Double"
"Balzerani, Riccardo","Micov, Stefan",1.16,4.26,30 Sep 11:00,"ITFm Itf North Macedonia F3, Men Singles"
Genov A / Thanos A,Battaglino S / Vanshelboim E,2.40,1.46,30 Sep 11:00,"ITFm Itf North Macedonia F3, Men Doubles"
"Helgo, Malene","Parry, Diane",3.42,1.24,30 Sep 11:00,"ITFw ITF Portugal 16A, Women Singles"
"Kopriva, Vit","Molcan, Alex",4.33,1.18,30 Sep 11:00,"Chall. ATP Challenger Sibiu, Romania Men Singles"
"Lazaro Garcia, Andrea","Monnet, Carole",1.76,1.88,30 Sep 11:00,"ITFw ITF Portugal 16A, Women Singles"
"Anderson, Robin","Tan, Harmony",2.86,1.33,30 Sep 11:30,"ITFw ITF France 19A, Women Singles"
"Bemelmans, Ruben","Herbert, Pierre-hugues",2.63,1.43,30 Sep 11:30,"Chall. ATP Challenger Orleans, France Men Singles"
"Marti, Yann","Hurrion, Millen",2.37,1.47,30 Sep 11:30,"ITFm ITF France F13, Men Singles"
Cerretani J / Margaroli L,Krutykh O / Poljak D,1.42,2.66,30 Sep 11:40,"Chall. ATP Challenger Sibiu, Romania Men Double"
"Djere, Laslo","Krajinovic, Filip",2.45,1.49,30 Sep 11:40,"ATP ATP Sofia, Bulgaria Men Singles"
"Nava, Emilio","Collarini, Andrea",1.80,1.91,30 Sep 11:50,"Chall. ATP Challenger Murcia, Spain Men Singles"
"Stebe, Cedrik-marcel","Borges, Nuno",2.27,1.57,30 Sep 11:55,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
Agarwal R / Kovapitukted P,Maggioli E / Noce G M,2.54,1.42,30 Sep 12:00,"ITFm ITF Egypt F25, Men Doubles"
Anshba A / Mandlik E,Janse Van Vuuren H / Pretorius S,1.07,6.14,30 Sep 12:00,"ITFw Itf South Africa 05a, Women Doubles"
"Beaupain, Simon","Lavagno, Edoardo",5.22,1.10,30 Sep 12:00,"ITFm ITF Egypt F25, Men Singles"
Charaeva A / Koval V,Bondarenko M / Vanlangendonck E,1.47,2.38,30 Sep 12:00,"ITFw Itf South Africa 05a, Women Doubles"
Chiu J / Jones M,Barrena A / Tenti F,7.05,1.04,30 Sep 12:00,"ITFm ITF Egypt F25, Men Doubles"
"Dev, S D Prajwal / Sinha, Nitin Kumar",Ferrari G / Rottoli L,2.64,1.39,30 Sep 12:00,"ITFm ITF Egypt F25, Men Doubles"
Donski A / Kuzmanov D,O`Mara J / Skupski K,6.15,1.09,30 Sep 12:00,"ATP ATP Sofia, Bulgaria Men Double"
Duerst J / Stadler N,Vedder E / Visscher S J,1.82,1.82,30 Sep 12:00,"ITFw Itf South Africa 05a, Women Doubles"
Huey T / Nielsen F,Galloway R / Lawson A,1.71,2.02,30 Sep 12:00,"Chall. ATP Challenger Orleans, France Men Double"
Marozsan F / Valkusz M,Ilnytskyy S / Veremeichuk D,1.05,6.79,30 Sep 12:00,"ITFm ITF Hungary F1, Men Doubles"
Borges N / Cabral F,Fanselow S / Gerch L,1.48,2.48,30 Sep 12:10,"Chall. ATP Challenger Lisbon, Portugal Men Double"
Brancaccio R / Cobolli F,De Loore J / Vanneste J,1.85,1.85,30 Sep 12:30,"Chall. ATP Challenger Murcia, Spain Men Double"
Durguti B / Grabul D,Squire H / Wessels L,4.30,1.15,30 Sep 12:30,"ITFm Itf North Macedonia F3, Men Doubles"
"Hodkin, Sean","Bovy, Arnaud",3.18,1.27,30 Sep 12:30,"ITFm ITF France F13, Men Singles"
Navone M / Paz J P,Sorrentino L / Vatteroni L,1.26,3.24,30 Sep 12:30,"ITFm Itf North Macedonia F3, Men Doubles"
"Neuchrist, Maximilian","Royer, Valentin",1.96,1.70,30 Sep 12:30,"ITFm ITF Sweden F4, Men Singles"
"Shimizu, Yuta","Imai, Shintaro",1.70,1.96,30 Sep 12:30,"ITFm ITF Sweden F4, Men Singles"
"Laaksonen, Henri","Bonzi, Benjamin",2.55,1.45,30 Sep 12:50,"Chall. ATP Challenger Orleans, France Men Singles"
Chanta T / Kunsuwan N,Blanchet U / Darras M,6.92,1.05,30 Sep 13:00,"ITFm ITF Tunisia F39, Men Doubles"
Collignon R / Den Ouden G,Sumizawa D / Tanuma R,2.05,1.63,30 Sep 13:00,"ITFm ITF Tunisia F39, Men Doubles"
"Katz, Martin","Brymer, Gage",4.90,1.12,30 Sep 13:00,"ITFm ITF Tunisia F39, Men Singles"
"Pfeifer, Lara","Mack, Mia",2.12,1.59,30 Sep 13:00,"ITFw ITF Tunisia 39A, Women Singles"
Saito T / Takeuchi K,Nishiwaki K / Ogura K,1.46,2.41,30 Sep 13:00,"ITFm ITF Tunisia F39, Men Doubles"
"Ortega-olmedo, Roberto","Bourgue, Mathias",4.49,1.17,30 Sep 13:10,"Chall. ATP Challenger Murcia, Spain Men Singles"
"Domingues, Joao","Michalski, Daniel",2.37,1.52,30 Sep 13:15,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
Arneodo R / Halys Q,Molchanov D / Reid M,1.89,1.81,30 Sep 13:20,"Chall. ATP Challenger Orleans, France Men Double"
Demoliner M / Matos R,Marach O / Oswald P,2.17,1.61,30 Sep 13:20,"ATP ATP Sofia, Bulgaria Men Double"
Albie A / Robbe A,Cascino E / Grey S B,2.85,1.33,30 Sep 13:30,"ITFw ITF France 19A, Women Doubles"
Calzi R / Knaff A,Johnson L / Jones B,2.85,1.33,30 Sep 14:00,"ITFm ITF France F13, Men Doubles"
Delai M / Zantedeschi A,Bassols Ribera M / Parry D,2.66,1.38,30 Sep 14:00,"ITFw ITF Portugal 16A, Women Doubles"
"Escoffier, Antoine","Kirkov, Vasil",1.20,3.76,30 Sep 14:00,"ITFm ITF Sweden F4, Men Singles"
Herbert P-h / Olivetti A,Begemann A / Zelenay I,1.30,3.22,30 Sep 14:00,"Chall. ATP Challenger Orleans, France Men Double"
"Little, Daniel","Sultanov, Khumoyun",2.30,1.50,30 Sep 14:00,"ITFm ITF Sweden F4, Men Singles"
"Pegula, Jessica","Jabeur, Ons",1.90,1.80,30 Sep 14:00,WTA Chicago 2 Singles Women
Balaji N S / Ramanathan R,Barroso Campos A / Carballes Baena R,1.45,2.57,30 Sep 14:30,"Chall. ATP Challenger Murcia, Spain Men Double"
Marcinko P / Scilipoti S,Balu S / Chilakalapudi S S,1.51,2.30,30 Sep 14:30,"ITFw ITF Tunisia 39A, Women Doubles"
"Haase, Robin","Gaston, Hugo",3.25,1.30,30 Sep 14:35,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
Erlich J / Inglot D,Jebavy R / Middelkoop M,1.69,2.05,30 Sep 14:40,"ATP ATP Sofia, Bulgaria Men Double"
Bondar A / Knoll X,Anderson R / Hesse A,1.63,2.05,30 Sep 15:00,"ITFw ITF France 19A, Women Doubles"
"Buzarnescu, Mihaela","Nguyen Tan, Lucie",1.04,7.21,30 Sep 15:00,"ITFw ITF France 19A, Women Singles"
Cerundolo J M / Tirante T A,Barrientos N / Romboli F,2.10,1.66,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Double"
"Esteve Lobato, Eduard","Varillas, Juan Pablo",3.36,1.28,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
Frech M / Kawa K,Peschke K / Petkovic A,2.57,1.45,30 Sep 15:00,"WTA Wta Chicago 2, Usa Women Doubles"
"Ivashka, Ilya","Monfils, Gael",1.73,1.99,30 Sep 15:00,"ATP ATP Sofia, Bulgaria Men Singles"
"Lama, Gonzalo","Cerundolo, Juan Manuel",3.71,1.23,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Melzer, Gerald","Roca Batalla, Oriol",1.32,3.13,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Nikles, Johan","Olivo, Renzo",2.23,1.59,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Ugo Carabelli, Camilo","Lenz, Julian",1.25,3.59,30 Sep 15:00,"Chall. ATP Challenger Lima, Peru Men Singles"
"Mertens, Elise","Collins, Danielle",1.78,1.93,30 Sep 15:15,WTA Chicago 2 Singles Women
Beauge M / Bouquier A,Corwin F / Pozzi D,1.55,2.20,30 Sep 15:30,"ITFm ITF France F13, Men Doubles"
"Fassbender, Boris","Vankan, Marlon",1.73,1.92,30 Sep 15:30,"ITFm ITF France F13, Men Singles"
"Kudermetova, Veronika","Rybakina, Elena",2.74,1.40,30 Sep 15:30,WTA Chicago 2 Singles Women
"Pouille, Lucas","Gasquet, Richard",2.09,1.66,30 Sep 15:30,"Chall. ATP Challenger Orleans, France Men Singles"
"Sinner, Jannik","Gerasimov, Egor",1.18,4.33,30 Sep 16:20,"ATP ATP Sofia, Bulgaria Men Singles"
"Svitolina, Elina","Ruse, Elena-gabriela",1.13,5.23,30 Sep 16:30,WTA Chicago 2 Singles Women
"Teichmann, Jil","Vondrousova, Marketa",2.30,1.55,30 Sep 16:30,WTA Chicago 2 Singles Women
"Dimitrov, Grigor","Auger-Aliassime, Felix",2.78,1.39,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
"Murray, Andy","Ruud, Casper",2.29,1.56,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
Salisbury J / Skupski N,Nakashima B / Verbeek S,1.27,3.41,30 Sep 17:00,"ATP Atp San Diego, Usa Men Doubles"
"Shapovalov, Denis","Fritz, Taylor",1.57,2.26,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
"Sonego, Lorenzo","Korda, Sebastian",2.24,1.58,30 Sep 17:00,"ATP Atp San Diego, Usa Men Singles"
"Bencic, Belinda","Martincova, Tereza",1.25,3.61,30 Sep 17:45,WTA Chicago 2 Singles Women
"Vesely, Jiri","Tabilo, Alejandro",1.43,2.63,30 Sep 18:10,"Chall. ATP Challenger Orleans, France Men Singles"
Cornea V V / Tsitsipas P,Ignatik U / Ionel N D,1.65,2.11,01 Oct 07:00,"Chall. ATP Challenger Sibiu, Romania Men Double"
"Kuhn, Nicola","Cobolli, Flavio",2.42,1.50,01 Oct 08:00,"Chall. ATP Challenger Murcia, Spain Men Singles"
"Zekic, Miljan","Griekspoor, Tallon",3.13,1.32,01 Oct 08:00,"Chall. ATP Challenger Murcia, Spain Men Singles"
Daniel T / Popko D,Faria J / Faria L,1.81,1.89,01 Oct 09:00,"Chall. ATP Challenger Lisbon, Portugal Men Double"
"Martin, Andrej","Milojevic, Nikola",2.75,1.40,01 Oct 09:00,"Chall. ATP Challenger Lisbon, Portugal Men Singles"
